HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,FTR
2.44,1.12,1.81,1.16,2.31,1.29,1.91,1.28,13.81,11.18,12.09,12.09,4.16,3.78,4.88,3.29,0.00
2.06,2.19,1.75,2.47,1.88,1.75,1.53,2.34,16.19,12.25,15.47,15.47,5.03,5.81,5.88,5.00,1.00
1.88,0.25,1.50,0.66,1.63,0.56,1.44,0.81,14.94,9.38,13.41,13.41,4.47,3.66,4.56,3.25,0.00
0.50,1.60,0.44,1.84,0.63,1.67,0.59,1.72,11.06,11.80,10.97,10.97,3.28,4.88,3.31,4.33,2.00
2.81,0.75,2.56,0.97,2.88,0.88,2.38,0.84,18.88,8.81,16.97,16.97,6.41,2.81,7.31,3.06,0.00
1.56,1.38,1.34,1.34,1.31,1.38,1.19,1.25,15.06,11.38,12.44,12.44,3.91,4.75,4.63,4.25,2.00
1.88,1.50,1.50,1.75,1.94,1.63,1.47,1.75,13.44,12.69,12.00,12.00,4.28,5.94,4.94,5.06,0.00
1.81,0.81,1.50,1.06,1.50,0.94,1.28,1.22,13.44,11.31,12.03,12.03,3.78,4.31,4.50,3.88,0.00
1.19,1.00,1.00,1.13,1.19,1.19,0.97,1.19,12.63,7.13,11.22,11.22,3.53,2.97,3.88,2.44,2.00
1.38,1.44,1.09,1.31,1.38,1.75,1.44,1.47,11.88,10.69,11.53,11.53,4.31,3.75,4.25,3.50,0.00
1.19,1.13,1.00,1.45,0.81,1.00,0.87,1.42,10.69,10.56,9.94,9.94,2.87,4.32,2.56,3.63,0.00
1.25,0.38,1.06,0.45,1.19,0.56,1.16,0.61,11.31,10.88,9.42,9.42,3.00,3.23,3.50,3.25,1.00
1.19,1.19,1.35,1.45,1.19,1.06,1.48,1.26,15.63,10.63,13.26,13.26,3.81,3.71,4.00,3.06,2.00
1.31,1.13,1.29,1.45,1.13,1.25,1.23,1.39,16.38,11.88,13.94,13.94,4.74,4.42,5.25,4.38,2.00
2.00,1.13,1.81,1.39,1.88,1.06,1.77,1.23,14.88,9.81,13.94,13.94,6.00,4.00,6.81,3.19,0.00
2.06,0.81,1.81,1.03,1.76,0.75,1.71,0.97,16.00,9.81,14.16,14.16,4.84,3.48,5.35,3.19,0.00
1.20,0.81,1.19,1.03,1.27,1.50,1.32,1.42,11.40,11.19,11.23,11.23,3.77,4.29,4.33,4.38,2.00
1.06,1.19,0.68,1.77,1.06,1.50,0.84,1.90,13.69,10.38,11.71,11.71,3.77,4.23,4.06,3.44,2.00
2.75,2.31,2.52,2.55,2.94,1.88,2.39,2.39,17.69,15.06,15.03,15.03,5.81,6.35,6.63,5.50,1.00
1.31,1.44,1.10,1.77,1.50,1.19,1.26,1.55,13.44,14.75,12.23,12.23,4.26,5.06,4.75,4.19,2.00
1.27,0.87,0.97,1.13,1.33,1.00,1.33,1.30,11.93,10.93,11.60,11.60,4.20,4.20,4.20,3.73,1.00
