Home,Away,HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,O15HPG,O15APG,O25HPG,O25APG,HAD,H_Win,A_Win,FTG,O15,O25
Burnley,Newcastle,1.357142857,1.214285714,1.192307692,1.384615385,1.285714286,1.071428571,1.269230769,1.269230769,12,9.857142857,10.07692308,10.07692308,3.269230769,3.923076923,3.714285714,3.071428571,0.857142857,0.357142857,0.571428571,0.357142857,2,0,1,3,1,1
Cardiff,Wolves,1.083333333,1.153846154,1.04,1.64,1,1.153846154,0.92,1.4,10.83333333,9.692307692,10.8,10.8,3.48,3.6,3.666666667,2.692307692,0.833333333,0.538461538,0.583333333,0.538461538,0,1,0,3,1,1
Crystal Palace,Burnley,1.384615385,1,1.6,1.24,1.307692308,1.25,1.72,1.28,16.30769231,7.833333333,13.84,13.84,4,3.24,4.076923077,2.75,0.692307692,0.583333333,0.384615385,0.583333333,0,1,0,2,1,0
Huddersfield,Brighton,0.333333333,0.75,0.24,0.84,0.666666667,0.916666667,0.56,0.84,10.83333333,9.75,10.32,10.32,3,2.92,3.166666667,3.333333333,0.75,0.583333333,0.583333333,0.583333333,2,0,1,3,1,1
Leicester,Watford,1.461538462,1.153846154,1.36,1.2,1.230769231,1.461538462,1.32,1.4,16.23076923,10.76923077,14.08,14.08,4.92,3.92,5.384615385,3.230769231,0.692307692,0.769230769,0.461538462,0.769230769,0,1,0,2,1,0
Man City,Bournemouth,2.75,0.538461538,2.52,1,2.5,1.230769231,2.2,1.36,17.91666667,11,17.12,17.12,6.4,4.12,7.166666667,4.153846154,0.75,0.615384615,0.666666667,0.615384615,0,1,0,4,1,1
Newcastle,West Ham,1.583333333,1.230769231,1.32,1.6,1.5,1.076923077,1.24,1.52,15,9.923076923,12.04,12.04,3.96,4.28,4.916666667,3.538461538,0.833333333,0.384615385,0.583333333,0.384615385,2,0,1,3,1,1
Southampton,Man United,1.461538462,1.666666667,1.24,1.8,1.769230769,1.666666667,1.4,1.8,12.61538462,13.58333333,11.56,11.56,4,5.92,4.769230769,5.333333333,1,0.583333333,0.769230769,0.583333333,1,0,0,4,1,1
Arsenal,Tottenham,2.583333333,1.090909091,1.72,1.64,2.5,1.636363636,1.8,1.76,14.25,12.36363636,12.04,12.04,4.2,4.84,5.25,4.272727273,0.916666667,0.636363636,0.5,0.636363636,0,1,0,6,1,1
Chelsea,Fulham,2.25,0.333333333,1.76,0.72,2,0.583333333,1.4,0.8,16.5,10,15.04,15.04,5,3.96,6.166666667,3.666666667,0.833333333,0.5,0.416666667,0.5,0,1,0,2,1,0
Liverpool,Everton,2.846153846,1.076923077,2.56,1.28,3.153846154,1.307692308,2.52,1.36,18.23076923,11.76923077,15.44,15.44,6.04,4.28,6.923076923,4.230769231,0.923076923,0.461538462,0.692307692,0.461538462,0,1,0,1,0,0
Bournemouth,Huddersfield,1.5,0.153846154,1.041666667,0.25,1.5,0.461538462,1.375,0.541666667,11.66666667,9.846153846,11.625,11.625,4.25,3.041666667,4.083333333,2.846153846,0.75,0.461538462,0.5,0.461538462,0,1,0,3,1,1
Brighton,Crystal Palace,0.923076923,1.833333333,0.75,1.541666667,0.769230769,2.166666667,0.791666667,1.708333333,11.23076923,11.16666667,10.375,10.375,2.791666667,3.791666667,2.538461538,3.916666667,0.615384615,0.666666667,0.384615385,0.666666667,0,1,0,4,1,1
Watford,Man City,1.25,2.307692308,1.25,2.5,1.333333333,1.923076923,1.458333333,2.166666667,11.66666667,16.38461538,11.33333333,11.33333333,4.083333333,6.416666667,4.666666667,5.692307692,0.75,0.538461538,0.583333333,0.538461538,2,0,1,3,1,1
West Ham,Cardiff,2,1,1.541666667,0.958333333,2,0.846153846,1.458333333,0.875,13.58333333,10.76923077,11.875,11.875,4.291666667,3.5,5.083333333,3.307692308,0.916666667,0.384615385,0.583333333,0.384615385,0,1,0,4,1,1
Burnley,Liverpool,1.461538462,2.25,1.291666667,2.541666667,1.307692308,1.833333333,1.333333333,2.583333333,11.84615385,12.41666667,10.16666667,10.16666667,3.375,6.166666667,3.692307692,5.083333333,0.846153846,0.5,0.538461538,0.5,2,0,1,4,1,1
Everton,Newcastle,1.5,1.076923077,1.333333333,1.375,1.416666667,1,1.416666667,1.291666667,14.16666667,9.307692308,13.08333333,13.08333333,4.333333333,3.958333333,4.333333333,3.076923077,0.75,0.307692308,0.333333333,0.307692308,1,0,0,2,1,0
Fulham,Leicester,1.076923077,1.25,0.75,1.291666667,1,1.416666667,0.833333333,1.291666667,13.61538462,11.75,12,12,3.958333333,5,4.230769231,4.416666667,0.846153846,0.5,0.461538462,0.5,1,0,0,2,1,0
Man United,Arsenal,1.923076923,0.923076923,1.833333333,1.666666667,1.923076923,1.153846154,1.791666667,1.708333333,14.92307692,10,14.41666667,14.41666667,5.958333333,4.083333333,6.461538462,3.230769231,0.923076923,0.615384615,0.692307692,0.615384615,1,0,0,4,1,1
Tottenham,Southampton,2.071428571,1,1.708333333,1.25,1.857142857,1,1.75,1.375,16.5,10.41666667,14.83333333,14.83333333,4.791666667,3.916666667,5.285714286,3.166666667,0.642857143,0.5,0.5,0.5,0,1,0,4,1,1
Wolves,Chelsea,2.166666667,1.307692308,1.708333333,1.708333333,1.666666667,0.846153846,1.416666667,1.375,13.58333333,13.69230769,11.41666667,11.41666667,3.583333333,4.833333333,4.583333333,3.923076923,0.833333333,0.538461538,0.416666667,0.538461538,0,1,0,3,1,1
Arsenal,Huddersfield,2.545454545,0.166666667,1.695652174,0.260869565,2.363636364,0.416666667,1.695652174,0.52173913,13.54545455,8.75,11.73913043,11.73913043,4.086956522,2.913043478,5.090909091,2.583333333,0.909090909,0.416666667,0.454545455,0.416666667,0,1,0,1,0,0
Bournemouth,Liverpool,1.363636364,2.181818182,0.956521739,2.52173913,1.454545455,1.727272727,1.347826087,2.565217391,12.18181818,11.90909091,11.86956522,11.86956522,4.347826087,5.913043478,4.272727273,4.454545455,0.727272727,0.454545455,0.454545455,0.454545455,2,0,1,4,1,1
Burnley,Brighton,1.583333333,0.545454545,1.347826087,0.652173913,1.333333333,0.818181818,1.347826087,0.695652174,12,9.363636364,10.17391304,10.17391304,3.260869565,2.782608696,3.5,3.090909091,0.833333333,0.545454545,0.5,0.545454545,0,1,0,1,0,0
Cardiff,Southampton,0.909090909,1.090909091,1,1.304347826,0.909090909,1,0.869565217,1.391304348,10.27272727,9.727272727,10.60869565,10.60869565,3.434782609,3.869565217,3.727272727,3,0.818181818,0.454545455,0.545454545,0.454545455,0,1,0,1,0,0
Chelsea,Man City,2.181818182,2.25,1.782608696,2.47826087,2,1.916666667,1.391304348,2.173913043,16.54545455,16.5,14.91304348,14.91304348,4.913043478,6.391304348,5.909090909,5.583333333,0.818181818,0.5,0.454545455,0.5,0,1,0,2,1,0
Leicester,Tottenham,1.333333333,1.2,1.304347826,1.652173913,1.166666667,1.6,1.304347826,1.695652174,17,12.5,14.43478261,14.43478261,5,4.652173913,5.583333333,4.1,0.666666667,0.6,0.5,0.6,2,0,1,2,1,0
Man United,Fulham,2,0.363636364,1.869565217,0.739130435,1.916666667,0.636363636,1.782608696,0.826086957,15.33333333,10.09090909,14.60869565,14.60869565,5.913043478,3.826086957,6.416666667,3.636363636,0.916666667,0.545454545,0.666666667,0.545454545,0,1,0,5,1,1
West Ham,Crystal Palace,1.909090909,2,1.47826087,1.608695652,1.909090909,2.272727273,1.391304348,1.739130435,13.27272727,10.54545455,11.65217391,11.65217391,4,3.739130435,4.545454545,3.818181818,0.909090909,0.636363636,0.545454545,0.636363636,0,1,0,5,1,1
Newcastle,Wolves,1.727272727,1.25,1.391304348,1.652173913,1.636363636,1.166666667,1.304347826,1.391304348,14.90909091,9.25,12.04347826,12.04347826,3.913043478,3.652173913,5,2.583333333,0.818181818,0.5,0.545454545,0.5,2,0,1,3,1,1
Everton,Watford,1.545454545,1.25,1.347826087,1.304347826,1.454545455,1.583333333,1.434782609,1.47826087,13.72727273,11,12.82608696,12.82608696,4.391304348,3.956521739,4.454545455,3.5,0.727272727,0.833333333,0.363636364,0.833333333,1,0,0,4,1,1
Crystal Palace,Leicester,1.25,1.272727273,1.681818182,1.363636364,1.25,1.454545455,1.727272727,1.363636364,15.25,11.63636364,13.22727273,13.22727273,3.727272727,5.090909091,3.666666667,4.363636364,0.666666667,0.545454545,0.416666667,0.545454545,0,1,0,1,0,0
Fulham,West Ham,1.083333333,1.083333333,0.772727273,1.409090909,1,0.916666667,0.818181818,1.318181818,12.66666667,10.16666667,11.5,11.5,3.818181818,3.909090909,4,3.5,0.833333333,0.333333333,0.5,0.333333333,2,0,1,2,1,0
Huddersfield,Newcastle,0.363636364,1.083333333,0.272727273,1.454545455,0.636363636,1,0.545454545,1.318181818,11.18181818,9.416666667,10.09090909,10.09090909,3.045454545,3.909090909,3.272727273,2.916666667,0.727272727,0.333333333,0.545454545,0.333333333,2,0,1,1,0,0
Man City,Everton,2.727272727,1.166666667,2.590909091,1.363636364,2.454545455,1.416666667,2.272727273,1.409090909,18.09090909,12,17.40909091,17.40909091,6.5,4.363636364,7.272727273,4.333333333,0.727272727,0.5,0.636363636,0.5,0,1,0,4,1,1
Tottenham,Burnley,2,1.090909091,1.590909091,1.272727273,1.769230769,1.363636364,1.681818182,1.363636364,16.76923077,8.181818182,15.27272727,15.27272727,4.772727273,3.227272727,5.076923077,3,0.615384615,0.636363636,0.461538462,0.636363636,0,1,0,1,0,0
Watford,Cardiff,1.363636364,1.083333333,1.318181818,0.909090909,1.363636364,0.833333333,1.454545455,0.863636364,11.72727273,10.91666667,11.18181818,11.18181818,4,3.409090909,4.454545455,3.166666667,0.727272727,0.333333333,0.545454545,0.333333333,0,1,0,5,1,1
Wolves,Bournemouth,2.090909091,0.583333333,1.590909091,1,1.636363636,1.25,1.363636364,1.409090909,14.27272727,11.58333333,11.59090909,11.59090909,3.545454545,4.454545455,4.818181818,4.416666667,0.818181818,0.583333333,0.363636364,0.583333333,0,1,0,2,1,0
Brighton,Chelsea,0.75,1.416666667,0.681818182,1.727272727,0.583333333,0.833333333,0.727272727,1.363636364,11.41666667,13.41666667,10.27272727,10.27272727,2.863636364,4.909090909,2.5,4,0.583333333,0.5,0.333333333,0.5,2,0,1,3,1,1
